"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","853","Create Order","","Sat Dec 14 11:53:34 MSK 2024","passed","Sat Dec 14 11:53:35 MSK 2024","Store","store.spec.ts","",""
"","809","Get User By Id","","Sat Dec 14 11:50:47 MSK 2024","passed","Sat Dec 14 11:50:48 MSK 2024","User","user.spec.ts","",""
"","834","Get Pet By Id","","Sat Dec 14 11:54:37 MSK 2024","passed","Sat Dec 14 11:54:38 MSK 2024","Pet","pet.spec.ts","",""
"","1208","Delete Order","","Sat Dec 14 11:53:39 MSK 2024","passed","Sat Dec 14 11:53:40 MSK 2024","Store","store.spec.ts","",""
"","945","Update Pet","","Fri Dec 13 19:56:14 MSK 2024","passed","Fri Dec 13 19:56:15 MSK 2024","Pet","pet.spec.ts","",""
"","863","Invalid Order","","Fri Dec 13 20:17:23 MSK 2024","passed","Fri Dec 13 20:17:24 MSK 2024","Store","store.spec.ts","",""
"","829","Pet not found","","Fri Dec 13 19:56:15 MSK 2024","passed","Fri Dec 13 19:56:16 MSK 2024","Pet","pet.spec.ts","",""
"","866","Get Order By Id","","Fri Dec 13 20:17:23 MSK 2024","passed","Fri Dec 13 20:17:24 MSK 2024","Store","store.spec.ts","",""
"","1129","Delete User","","Sat Dec 14 11:53:08 MSK 2024","passed","Sat Dec 14 11:53:10 MSK 2024","User","user.spec.ts","",""
"","1014","Delete Pet","","Sat Dec 14 11:55:00 MSK 2024","passed","Sat Dec 14 11:55:01 MSK 2024","Pet","pet.spec.ts","",""
"","798","Create User","","Sat Dec 14 11:50:42 MSK 2024","passed","Sat Dec 14 11:50:43 MSK 2024","User","user.spec.ts","",""
"","203","Order not found","","Fri Dec 13 20:17:24 MSK 2024","passed","Fri Dec 13 20:17:25 MSK 2024","Store","store.spec.ts","",""
"","800","User not found","","Fri Dec 13 20:30:27 MSK 2024","passed","Fri Dec 13 20:30:28 MSK 2024","User","user.spec.ts","",""
"","813","Update User","","Sat Dec 14 11:52:52 MSK 2024","passed","Sat Dec 14 11:52:53 MSK 2024","User","user.spec.ts","",""
"","921","Create Pet","","Sat Dec 14 11:54:55 MSK 2024","passed","Sat Dec 14 11:54:56 MSK 2024","Pet","pet.spec.ts","",""
